Sehir	Enlem	Boylam
Adana	36.9914	35.3308
Adiyaman	37.7639	38.2775
Afyonkarahisar	38.7595	30.5387
Agri	39.7191	43.0506
Aksaray	38.3686	34.0297
Amasya	40.6565	35.8373
Ankara	39.9334	32.8597
Antalya	36.8969	30.7133
Ardahan	41.113	42.7023
Artvin	41.1809	41.8208
Aydin	37.838	27.8456
Balikesir	39.6533	27.8903
Bartin	41.6377	32.3338
Batman	37.8888	41.1285
Bayburt	40.2603	40.228
Bilecik	40.1426	29.9793
Bingol	38.8855	40.4966
Bitlis	38.4006	42.1095
Bolu	40.7325	31.6082
Burdur	37.7182	30.2813
Bursa	40.1885	29.061
Canakkale	40.1467	26.4086
Cankiri	40.6002	33.6162
Corum	40.5499	34.9537
Denizli	37.783	29.0963
Diyarbakir	37.925	40.211
Duzce	40.8387	31.1626
Edirne	41.6771	26.5557
Elazig	38.6748	39.2225
Erzincan	39.7469	39.491
Erzurum	39.9056	41.2658
Eskisehir	39.7667	30.5256
Gaziantep	37.066	37.3781
Giresun	40.9175	38.3927
Gumushane	40.4609	39.4804
Hakkari	37.5774	43.7368
Hatay	36.3524	36.2935
Igdir	39.9191	44.0442
Isparta	37.7626	30.5537
Istanbul	41.0082	28.9784
Izmir	38.4237	27.1428
Kahramanmaras	37.5753	36.9228
Karabuk	41.1956	32.6227
Karaman	37.181	33.2222
Kars	40.6013	43.0975
Kastamonu	41.3766	33.7765
Kayseri	38.7205	35.4826
Kilis	36.7165	37.1147
Kirikkale	39.8398	33.5089
Kirklareli	41.7355	27.2245
Kirsehir	39.1463	34.1599
Kocaeli	40.7655	29.9407
Konya	37.8746	32.4932
Kutahya	39.42	29.9857
Malatya	38.3556	38.3336
Manisa	38.614	27.4296
Mardin	37.3126	40.739
Mersin	36.8121	34.6415
Mugla	37.2154	28.3636
Mus	38.7346	41.491
Nevsehir	38.6247	34.7142
Nigde	37.9698	34.6766
Ordu	40.9862	37.8797
Osmaniye	37.0748	36.2466
Rize	41.0255	40.5177
Sakarya	40.7731	30.3948
Samsun	41.2797	36.3361
Sanliurfa	37.1674	38.7955
Siirt	37.9274	41.942
Sinop	42.028	35.1517
Sirnak	37.519	42.4537
Sivas	39.7505	37.015
Tekirdag	40.9781	27.5117
Tokat	40.3235	36.5522
Trabzon	41.0027	39.7168
Tunceli	39.1062	39.5483
Usak	38.6742	29.4059
Van	38.5012	43.373
Yalova	40.6549	29.2842
Yozgat	39.821	34.8086
Zonguldak	41.4535	31.7894
